run,K,sw,lambda,block_id,block_name,num_F,num_R,F_ratio_block,total_cost_J_sum_zones,k_per_zone
sweep_K20_sw3_lam0.25_kmax4,20,3,0.25,13,block_13,69,181,0.276,2.25108339,2;4;4;4;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam0.25_kmax4,20,3,0.25,14,block_14,69,181,0.276,1.66369989,2;4;4;3;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam0.25_kmax4,20,3,0.25,15,block_15,69,181,0.276,1.26153408,2;4;4;3;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam0.25_kmax4,20,3,0.25,16,block_16,69,181,0.276,2.21609482,2;4;4;4;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam0.25_kmax4,20,3,0.25,17,block_17,69,181,0.276,1.3883135,2;4;4;4;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam0.25_kmax4,20,3,0.25,18,block_18,69,181,0.276,1.60586758,2;4;4;4;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam0.25_kmax4,20,3,0.25,19,block_19,69,181,0.276,2.44776449,2;4;4;4;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam0.25_kmax4,20,3,0.25,20,block_20,69,181,0.276,1.42197487,2;4;4;4;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam0.25_kmax4,20,3,0.25,21,block_21,69,181,0.276,1.51596183,2;4;4;4;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam0.25_kmax4,20,3,0.25,22,block_22,69,181,0.276,1.28575873,2;4;4;3;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam0.25_kmax4,20,3,0.25,23,block_23,70,180,0.28,2.96512341,2;4;4;3;2;4;3;4;4;4;4;4;4;4;1
sweep_K20_sw3_lam0.25_kmax4,20,3,0.25,24,block_24,70,180,0.28,2.61194229,2;4;4;3;2;4;3;4;4;4;4;4;4;4;1
sweep_K20_sw3_lam0.25_kmax4,20,3,0.25,25,block_25,70,180,0.28,2.27095645,2;4;4;3;2;4;3;4;4;4;4;4;4;4;1
sweep_K20_sw3_lam0.25_kmax4,20,3,0.25,26,block_26,183,67,0.732,3.32355133,2;4;4;4;2;4;3;4;4;1;1;1;1;1;1
sweep_K20_sw3_lam0.25_kmax4,20,3,0.25,27,block_27,70,180,0.28,2.40867667,2;4;4;3;2;4;3;4;4;4;4;4;4;4;1
sweep_K20_sw3_lam0.5_kmax4,20,3,0.5,0,block_0,69,181,0.276,2.47250429,2;4;4;3;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam0.5_kmax4,20,3,0.5,1,block_1,69,181,0.276,2.68212441,2;4;4;3;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam0.5_kmax4,20,3,0.5,2,block_2,69,181,0.276,3.89913966,2;4;4;4;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam0.5_kmax4,20,3,0.5,3,block_3,69,181,0.276,4.2030478,2;4;4;4;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam0.5_kmax4,20,3,0.5,4,block_4,69,181,0.276,2.80568657,2;4;4;3;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam0.5_kmax4,20,3,0.5,5,block_5,69,181,0.276,3.0908108,2;4;4;4;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam0.5_kmax4,20,3,0.5,6,block_6,69,181,0.276,4.67597504,2;4;4;3;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam0.5_kmax4,20,3,0.5,7,block_7,69,181,0.276,2.73006216,2;4;4;3;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam0.5_kmax4,20,3,0.5,8,block_8,69,181,0.276,3.03755931,2;4;4;4;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam0.5_kmax4,20,3,0.5,9,block_9,69,181,0.276,3.15257421,2;4;4;4;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam0.5_kmax4,20,3,0.5,10,block_10,69,181,0.276,2.60168636,2;4;4;4;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam0.5_kmax4,20,3,0.5,11,block_11,69,181,0.276,2.93866423,2;4;4;4;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam0.5_kmax4,20,3,0.5,12,block_12,69,181,0.276,2.98005721,2;4;4;3;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam0.5_kmax4,20,3,0.5,13,block_13,69,181,0.276,3.48733553,2;4;4;4;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam0.5_kmax4,20,3,0.5,14,block_14,69,181,0.276,2.89995204,2;4;4;3;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam0.5_kmax4,20,3,0.5,15,block_15,69,181,0.276,2.49778622,2;4;4;3;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam0.5_kmax4,20,3,0.5,16,block_16,69,181,0.276,3.45234696,2;4;4;4;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam0.5_kmax4,20,3,0.5,17,block_17,69,181,0.276,2.62456565,2;4;4;4;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam0.5_kmax4,20,3,0.5,18,block_18,69,181,0.276,2.84211972,2;4;4;4;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam0.5_kmax4,20,3,0.5,19,block_19,69,181,0.276,3.68401664,2;4;4;4;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam0.5_kmax4,20,3,0.5,20,block_20,69,181,0.276,2.65822701,2;4;4;4;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam0.5_kmax4,20,3,0.5,21,block_21,69,181,0.276,2.75221398,2;4;4;4;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam0.5_kmax4,20,3,0.5,22,block_22,69,181,0.276,2.52201087,2;4;4;3;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam0.5_kmax4,20,3,0.5,23,block_23,69,181,0.276,4.22531273,2;4;4;3;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam0.5_kmax4,20,3,0.5,24,block_24,69,181,0.276,3.87523974,2;4;4;3;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam0.5_kmax4,20,3,0.5,25,block_25,69,181,0.276,3.59758819,2;4;4;3;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam0.5_kmax4,20,3,0.5,26,block_26,70,180,0.28,4.82183998,2;4;4;4;2;4;3;4;4;4;4;4;4;4;1
sweep_K20_sw3_lam0.5_kmax4,20,3,0.5,27,block_27,69,181,0.276,3.72481583,2;4;4;3;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam1.0_kmax4,20,3,1.0,0,block_0,69,181,0.276,4.94500857,2;4;4;3;2;4;3;4;4;4;4;4;4;4;2
