run,K,sw,lambda,T,B,Z,zone_len_min,zone_len_max,zone_len_mean,change_points_count,merged_zones_count,total_F,total_R,F_ratio,F_mean_per_block,F_std_per_block,R_mean_per_block,cost_mean_per_block,cost_std_per_block,cost_sum_all_blocks,k_mean,k1_count,k2_count,k3_count,k4_count,I_cut_mean,I_cut_std,I_l1cos_mean,I_l1cos_std,Delta_abs_mean,Delta_abs_max
sweep_K20_sw5_lam0.5_kmax4,20,5,0.5,250,28,14,2,124,17.857142857142858,20,14,1877,5123,0.2681,67.04,0.185577,182.96,2.91298,0.626712,81.563443,3.558673,0,29,115,248,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.001520954782843592,0.04922228217101873
sweep_K20_sw5_lam1.0_kmax4,20,5,1.0,250,28,14,2,124,17.857142857142858,20,14,1876,5124,0.268,67.0,0.0,183.0,5.107022,0.637625,142.996626,3.561224,0,28,116,248,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.001520954782843592,0.04922228217101873
sweep_K20_sw9_lam0.25_kmax4,20,9,0.25,250,28,13,2,193,19.23076923076923,20,13,2027,4973,0.2896,72.39,27.25454,177.61,1.776057,0.490315,49.729602,3.027473,3,143,59,159,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0013541131537287622,0.027420949779463494
sweep_K20_sw9_lam0.5_kmax4,20,9,0.5,250,28,13,2,193,19.23076923076923,20,13,1877,5123,0.2681,67.04,0.185577,182.96,2.992484,0.506591,83.789538,3.052198,0,141,63,160,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0013541131537287622,0.027420949779463494
sweep_K20_sw9_lam1.0_kmax4,20,9,1.0,250,28,13,2,193,19.23076923076923,20,13,1876,5124,0.268,67.0,0.0,183.0,5.407362,0.517253,151.406145,3.054945,0,140,64,160,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0013541131537287622,0.027420949779463494
sweep_K25_sw2_lam0.25_kmax4,25,2,0.25,250,28,23,2,51,10.869565217391305,25,23,2126,4874,0.3037,75.93,20.03199,174.07,3.093511,0.973777,86.618311,3.430124,9,139,62,434,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0021406074838330033,0.08546559990014893
sweep_K25_sw2_lam0.5_kmax4,25,2,0.5,250,28,23,2,51,10.869565217391305,25,23,2016,4984,0.288,72.0,0.0,178.0,5.03856,0.98862,141.079674,3.47205,0,140,60,444,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0021406074838330033,0.08546559990014893
sweep_K25_sw2_lam1.0_kmax4,25,2,1.0,250,28,23,2,51,10.869565217391305,25,23,2016,4984,0.288,72.0,0.0,178.0,8.915492,0.98862,249.633772,3.47205,0,140,60,444,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0021406074838330033,0.08546559990014893
sweep_K25_sw3_lam0.25_kmax4,25,3,0.25,250,28,20,2,83,12.5,25,20,2080,4920,0.2971,74.29,21.310388,175.71,2.661438,0.847803,74.52026,3.3875,10,107,99,344,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0018107584533293816,0.08188251430964658
sweep_K25_sw3_lam0.5_kmax4,25,3,0.5,250,28,20,2,83,12.5,25,20,1961,5039,0.2801,70.04,0.185577,179.96,4.34538,0.874125,121.670638,3.425,1,111,97,351,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0018107584533293816,0.08188251430964658
sweep_K25_sw3_lam1.0_kmax4,25,3,1.0,250,28,20,2,83,12.5,25,20,1960,5040,0.28,70.0,0.0,180.0,7.685582,0.890891,215.196306,3.426786,0,112,97,351,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0018107584533293816,0.08188251430964658
sweep_K25_sw5_lam0.25_kmax4,25,5,0.25,250,28,17,2,105,14.705882352941176,25,17,2048,4952,0.2926,73.14,20.568204,176.86,2.203282,0.759079,61.691909,3.602941,6,33,105,332,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.001520954782843592,0.04922228217101873
sweep_K25_sw5_lam0.5_kmax4,25,5,0.5,250,28,17,2,105,14.705882352941176,25,17,1933,5067,0.2761,69.04,0.185577,180.96,3.523548,0.779838,98.659346,3.653361,0,29,107,340,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.001520954782843592,0.04922228217101873
sweep_K25_sw5_lam1.0_kmax4,25,5,1.0,250,28,17,2,105,14.705882352941176,25,17,1932,5068,0.276,69.0,0.0,181.0,6.142865,0.790987,172.000221,3.655462,0,28,108,340,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.001520954782843592,0.04922228217101873
sweep_K25_sw9_lam0.25_kmax4,25,9,0.25,250,28,17,2,124,14.705882352941176,25,17,2004,4996,0.2863,71.57,17.791307,178.43,2.301459,0.671935,64.44084,3.168067,3,143,101,229,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0013541131537287622,0.027420949779463494
sweep_K25_sw9_lam0.5_kmax4,25,9,0.5,250,28,17,2,124,14.705882352941176,25,17,1905,5095,0.2721,68.04,0.185577,181.96,3.836746,0.689348,107.428888,3.186975,0,141,105,230,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0013541131537287622,0.027420949779463494
sweep_K25_sw9_lam1.0_kmax4,25,9,1.0,250,28,17,2,124,14.705882352941176,25,17,1904,5096,0.272,68.0,0.0,182.0,6.888407,0.700033,192.875404,3.189076,0,140,106,230,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0013541131537287622,0.027420949779463494
sweep_K30_sw2_lam0.25_kmax4,30,2,0.25,250,28,26,2,51,9.615384615384615,30,26,2181,4819,0.3116,77.89,19.846445,172.11,3.641804,1.044072,101.970509,3.199176,10,249,55,414,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0021406074838330033,0.08546559990014893
